Date,Time,Open,Close,High,Low,HeikinAshi,MACD,SIGNAL,BuyPrice
22/10/2021,10:53:43,2.2932,2.2889,2.2932,2.2848,2.29,0.0,0.0,
22/10/2021,10:54:23,2.2859,2.2852,2.2859,2.2852,2.29,0.0,0.0,
22/10/2021,10:56:33,2.2818,2.2879,2.2879,2.2818,2.28,-0.0011428571428573342,-0.0007619047619048894,
22/10/2021,10:57:35,2.2892,2.2891,2.2892,2.2891,2.29,-0.000359183673469321,-0.0004934240362811772,
22/10/2021,10:58:53,2.2933,2.2934,2.2934,2.2933,2.29,1.7725947521807228e-05,-0.00015265738041252093,
22/10/2021,11:00:44,2.2962,2.2962,2.2962,2.2962,2.3,0.001320089962515425,0.000829174181539443,
22/10/2021,11:01:14,2.2907,2.283,2.2962,2.283,2.29,0.000584521401796767,0.000666072328377659,
22/10/2021,11:02:34,2.2837,2.2817,2.2837,2.2817,2.28,-0.0009403818558597621,-0.0004048971277806217,
22/10/2021,11:03:14,2.285,2.285,2.285,2.285,2.28,-0.0014864396113285494,-0.001125925450145907,
22/10/2021,11:04:14,2.2811,2.2805,2.2845,2.28,2.28,-0.0015505855509485578,-0.0014090321840143408,
22/10/2021,11:05:53,2.2879,2.2879,2.2879,2.2879,2.29,-0.0002580097478204202,-0.0006416838932183938,
22/10/2021,11:09:26,2.2861,2.2863,2.2863,2.2861,2.29,0.00032543813898566754,3.0641282509803888e-06,
22/10/2021,11:10:54,2.288,2.288,2.288,2.288,2.29,0.000538294303161102,0.00035988424485772815,
22/10/2021,11:11:24,2.2845,2.2846,2.2846,2.2845,2.28,-0.0005748581182682955,-0.0002632773305596209,2.2846
22/10/2021,11:12:44,2.2848,2.2848,2.2848,2.2848,2.28,-0.0009862253710788416,-0.0007452426909057679,
22/10/2021,11:14:24,2.2818,2.2822,2.2822,2.2818,2.28,-0.001049814151302897,-0.0009482903311705205,
22/10/2021,11:15:44,2.282,2.2823,2.2823,2.282,2.28,-0.0009570877255353771,-0.0009541552607470916,
22/10/2021,11:16:14,2.284,2.284,2.284,2.284,2.28,-0.0008079663744315901,-0.000856696003203424,
22/10/2021,11:17:25,2.2843,2.2843,2.2843,2.2843,2.28,-0.0006517182097374175,-0.000720044140892753,
22/10/2021,11:18:16,2.2817,2.2798,2.2817,2.2798,2.28,-0.0005102726294698989,-0.0005801964666108503,
22/10/2021,11:19:14,2.2835,2.2886,2.29,2.2834,2.29,0.0007515209197270778,0.00030761512428110176,
22/10/2021,11:20:25,2.2872,2.2841,2.2872,2.279,2.28,6.354433569999429e-05,0.00014490126522703013,
22/10/2021,11:21:15,2.2812,2.2817,2.2817,2.2812,2.28,-0.00023856498153485006,-0.00011074289928089,
22/10/2021,11:23:34,2.2788,2.2787,2.2788,2.2787,2.28,-0.0003407758338886957,-0.0002640981890194271,
22/10/2021,11:25:05,2.2806,2.2806,2.2806,2.2806,2.28,-0.00034563467531034675,-0.00031845584654670685,
22/10/2021,11:25:34,2.2814,2.2814,2.2814,2.2814,2.28,-0.0003082159301697196,-0.00031162923562871533,
22/10/2021,11:26:14,2.2838,2.2839,2.2839,2.2838,2.28,-0.0002569546473760731,-0.0002751795101269538,
22/10/2021,11:27:43,2.287,2.2877,2.2877,2.287,2.29,0.0009372378620930988,0.0005330987380197479,
22/10/2021,11:28:33,2.2855,2.2856,2.2856,2.2855,2.29,0.0013419217533408023,0.0010723140815671174,
22/10/2021,11:29:13,2.2883,2.2883,2.2883,2.2883,2.29,0.0013619952206362917,0.001265434840946567,
22/10/2021,11:30:24,2.2842,2.2843,2.2843,2.2842,2.28,7.208439569028613e-05,0.0004698678774423798,
22/10/2021,11:31:47,2.2808,2.2824,2.2824,2.2808,2.28,-0.0004889727459369553,-0.00016935920481051022,
22/10/2021,11:33:46,2.2825,2.2828,2.2828,2.2825,2.28,-0.0006735432070987812,-0.0005054818730026909,
22/10/2021,11:34:34,2.2877,2.2877,2.2877,2.2877,2.29,0.00046718867607209447,0.00014296515971383268,
22/10/2021,11:35:24,2.2845,2.2846,2.2846,2.2845,2.28,-0.00024017636554862776,-0.00011246252379447426,2.2846
22/10/2021,11:36:53,2.2865,2.2864,2.2866,2.2864,2.29,0.0006269730583907673,0.0003804945309956868,
22/10/2021,11:37:13,2.29,2.288,2.29,2.288,2.29,0.0009269544619772141,0.0007448011516500384,
22/10/2021,11:38:14,2.2836,2.2856,2.2856,2.2836,2.28,-0.00019327687499748336,0.0001194158005516906,2.2856
22/10/2021,11:39:23,2.288,2.288,2.288,2.288,2.29,0.0004915699091556647,0.0003675185396210066,
22/10/2021,11:41:04,2.2857,2.2857,2.2857,2.2857,2.29,0.0007288962556035727,0.0006084370169427174,
22/10/2021,11:46:36,2.2852,2.2852,2.2852,2.2852,2.29,0.0007473051177266932,0.0007010157507987011,
22/10/2021,11:48:14,2.2862,2.2886,2.2887,2.2862,2.29,0.0006697883308963704,0.0006801974708638139,
22/10/2021,11:50:44,2.2839,2.2839,2.2839,2.2839,2.28,-0.0005828375298477795,-0.00016182586294391496,
22/10/2021,11:53:03,2.2895,2.2883,2.2895,2.2883,2.29,8.978996181596699e-05,5.9180202293396606e-06,
22/10/2021,11:53:14,2.2899,2.2894,2.2899,2.2894,2.29,0.00036779717689272573,0.0002471707913382637,
22/10/2021,11:55:44,2.2894,2.2894,2.2894,2.2894,2.29,0.00044490916313799644,0.0003789963725380855,
22/10/2021,11:57:05,2.2899,2.2894,2.2899,2.2894,2.29,0.00042711039574161447,0.0004110723880071048,
22/10/2021,12:01:44,2.29,2.29,2.29,2.29,2.29,0.00037066973591537433,0.0003841372866126178,
22/10/2021,12:05:33,2.2876,2.2876,2.2876,2.2876,2.29,0.0003041186261709683,0.00033079151298485147,
22/10/2021,12:06:24,2.29,2.29,2.29,2.29,2.29,0.0002408403075753185,0.0002708240427118295,
22/10/2021,12:09:24,2.3003,2.2946,2.3003,2.2945,2.3,0.001329053564454341,0.0009763103905401705,
22/10/2021,12:10:14,2.2859,2.2859,2.2859,2.2859,2.29,0.000500681695750238,0.0006592245940135489,
22/10/2021,12:15:24,2.2858,2.2858,2.2858,2.2858,2.29,8.84444153630426e-05,0.0002787044749132114,
22/10/2021,12:17:03,2.2819,2.2819,2.2819,2.2819,2.28,-0.0012411937808445295,-0.0007345610289252824,
22/10/2021,12:18:23,2.2798,2.2798,2.2798,2.2798,2.28,-0.0016691880042660756,-0.001357645679152478,
22/10/2021,12:20:13,2.2791,2.2791,2.2791,2.2791,2.28,-0.0016618497566733836,-0.0015604483974997485,
22/10/2021,12:21:53,2.2789,2.2789,2.2789,2.2789,2.28,-0.0014687791069420975,-0.001499335537127981,
22/10/2021,12:23:45,2.2798,2.2798,2.2798,2.2798,2.28,-0.0012181740734069635,-0.0013118945613139693,
22/10/2021,12:27:24,2.2812,2.2812,2.2812,2.2812,2.28,-0.000971552022074107,-0.0010849995351540612,
22/10/2021,12:29:33,2.2813,2.2812,2.2813,2.2811,2.28,-0.0007548223404088006,-0.0008648814053238874,
22/10/2021,12:30:16,2.2904,2.2904,2.2904,2.2904,2.29,0.0005671843620662642,8.982910626954696e-05,
22/10/2021,12:31:18,2.2946,2.2946,2.2946,2.2946,2.29,0.0010689375931765,0.000742568097540849,
22/10/2021,12:32:24,2.2972,2.2971,2.2972,2.2971,2.3,0.0023046675387177196,0.0017839677249920959,
22/10/2021,12:33:25,2.3017,2.3017,2.3017,2.3014,2.3,0.0025708755109539183,0.002308572915633311,
22/10/2021,12:34:46,2.3054,2.3028,2.3054,2.3028,2.3,0.002391150297802902,0.002363624503746372,
22/10/2021,12:35:24,2.3094,2.3052,2.3094,2.3052,2.31,0.0031837080295606945,0.0029103468542892533,
22/10/2021,12:36:35,2.3113,2.3113,2.3113,2.3113,2.31,0.003159523282650234,0.0030764644731965736,
22/10/2021,12:37:14,2.3156,2.3157,2.3157,2.3156,2.32,0.003930927158813713,0.0036461062636079997,
22/10/2021,12:38:14,2.3163,2.3195,2.3195,2.3163,2.32,0.0038122800018767222,0.003756888755787148,
22/10/2021,12:39:34,2.3243,2.3242,2.3243,2.3242,2.32,0.0033257420772607738,0.0034694576367695655,
22/10/2021,12:40:17,2.3252,2.3242,2.3252,2.3242,2.32,0.0027371410150234254,0.002981246555605472,
22/10/2021,12:41:15,2.312,2.314,2.3157,2.312,2.31,0.0010292101580620105,0.0016798889572431645,
22/10/2021,12:42:43,2.3206,2.3206,2.3206,2.3206,2.32,0.0013224729155858483,0.0014416115961382871,
22/10/2021,12:44:34,2.3237,2.3204,2.3237,2.3204,2.32,0.0012970171927433327,0.0013452153272083176,
22/10/2021,12:45:24,2.3144,2.3149,2.3149,2.313,2.31,-4.980081931282854e-06,0.00044508505444858405,
22/10/2021,12:46:24,2.316,2.316,2.316,2.3159,2.32,0.0005804473811430455,0.000535326605578225,
22/10/2021,12:48:04,2.317,2.317,2.317,2.317,2.32,0.0007650080217587174,0.0006884475496985532,
22/10/2021,12:48:15,2.3131,2.3131,2.3131,2.3131,2.31,-0.0003861811918928204,-2.7971611362362516e-05,2.3131
22/10/2021,12:51:25,2.3132,2.313,2.3132,2.313,2.31,-0.0008354130043843888,-0.0005662658733770467,
22/10/2021,12:53:05,2.3131,2.3131,2.3131,2.3131,2.31,-0.0009324651520938865,-0.0008103987258549399,
22/10/2021,12:54:16,2.3192,2.3184,2.3192,2.3184,2.32,0.00027536565912722466,-8.655580253349689e-05,
22/10/2021,12:55:25,2.316,2.3159,2.316,2.3159,2.32,0.0007615370743216943,0.0004788394487032972,
22/10/2021,12:56:15,2.312,2.312,2.3121,2.312,2.31,-0.0002599936990890228,-1.3715983158249447e-05,2.312
22/10/2021,12:57:05,2.3087,2.3087,2.3087,2.3058,2.31,-0.000668079036369118,-0.0004499580186321618,
22/10/2021,12:58:14,2.3058,2.3058,2.3058,2.3058,2.31,-0.0007666208624756976,-0.0006610665811945189,
22/10/2021,12:59:26,2.3064,2.3064,2.3064,2.3064,2.31,-0.0007212392608098028,-0.0007011817009380415,
22/10/2021,13:00:14,2.3065,2.3066,2.3066,2.3065,2.31,-0.0006193626588606449,-0.0006466356728864438,
22/10/2021,13:01:16,2.3103,2.3092,2.3103,2.3092,2.31,-0.0005049169541551102,-0.0005521565270655548,
22/10/2021,13:02:43,2.3167,2.3167,2.3167,2.3167,2.32,0.0007446931426215997,0.00031240991939254813,
22/10/2021,13:03:24,2.317,2.3205,2.3205,2.3169,2.32,0.001195132539226762,0.0009008916659486907,
22/10/2021,13:04:28,2.325,2.325,2.3257,2.325,2.33,0.0023944485618603295,0.0018965962632231164,
22/10/2021,13:05:17,2.3315,2.3315,2.3316,2.3315,2.33,0.002634789878776189,0.0023887253402584984,
